t_us,tgt_l,tgt_r,erpm_l,erpm_r,i_l,i_r,duty_l,duty_r,vin
535851342,0,500,0,0,0.000,0.000,0.0000,0.0000,41.80
535861905,0,500,0,0,0.000,0.000,0.0000,0.0000,41.80
535871386,0,500,0,0,0.000,0.000,0.0000,0.0000,41.80
535881398,0,500,70,0,-0.300,1.400,0.0040,0.0640,41.80
535891382,0,500,70,0,-0.300,1.400,0.0040,0.0640,41.70
535901515,0,500,70,135,-0.300,2.100,0.0040,0.0860,41.70
535911630,0,500,113,135,-0.700,2.100,0.0460,0.0860,41.70
535922385,0,500,113,272,-0.700,-1.400,0.0460,-0.0240,41.70
535931486,0,500,-58,272,0.100,-1.400,-0.0030,-0.0240,41.70
535941392,0,500,-58,272,0.100,-1.400,-0.0030,-0.0240,41.70
535951472,0,500,62,83,-0.100,3.400,-0.0090,0.1010,41.70
535961671,0,500,62,83,-0.100,3.400,-0.0090,0.1010,41.70
535971822,0,500,-89,-182,0.100,4.200,0.0200,0.1210,41.70
535981396,0,500,-89,-182,0.100,4.200,0.0200,0.1210,41.70
535991419,0,500,-40,194,-0.100,2.500,0.0030,0.0460,41.70
536001456,0,500,-40,194,-0.100,2.500,0.0030,0.0460,41.70
536011395,0,500,108,121,0.600,3.500,-0.0120,0.0790,41.70
536021429,0,500,108,121,0.600,3.500,-0.0120,0.0790,41.70
536031436,0,500,41,190,0.000,3.200,-0.0120,0.0960,41.70
536041385,0,500,41,190,0.000,3.200,-0.0120,0.0960,41.70
536051498,0,500,2,271,0.100,2.800,0.0020,0.1020,41.70
536062056,0,500,2,271,0.100,2.800,0.0020,0.1020,41.70
536071489,0,500,-46,401,0.000,2.300,0.0020,0.0740,41.70
536081386,0,500,-46,401,0.000,2.300,0.0020,0.0740,41.70
536092155,0,500,79,388,0.500,2.500,-0.0070,0.0820,41.70
536101405,0,500,79,388,0.500,2.500,-0.0070,0.0820,41.70
536112501,0,500,28,495,0.000,1.800,0.0010,0.0910,41.70
536121614,0,500,28,495,0.000,1.800,0.0010,0.0910,41.70
536131458,0,500,45,570,0.300,1.500,-0.0110,0.0660,41.70
536141357,0,500,45,570,0.300,1.500,-0.0110,0.0660,41.70
536151435,0,500,3,575,-0.100,1.500,0.0030,0.0810,41.70
536161518,0,500,3,575,-0.100,1.500,0.0030,0.0810,41.70
536171467,0,500,3,629,-0.100,1.100,0.0030,0.0640,41.70
536181569,0,500,0,629,-0.100,1.100,0.0050,0.0640,41.70
536192011,0,500,0,620,-0.100,1.000,0.0050,0.0790,41.70
536201384,0,500,0,620,-0.100,1.000,0.0070,0.0790,41.70
536211657,0,500,0,689,-0.100,0.700,0.0070,0.0550,41.70
536221396,0,500,0,689,-0.100,0.700,0.0060,0.0550,41.70
536231411,0,500,0,689,-0.100,0.700,0.0060,0.0550,41.70
536241966,0,500,0,669,-0.100,0.600,0.0040,0.0540,41.70
536251678,0,500,0,669,-0.100,0.600,0.0040,0.0540,41.70
536261391,0,500,0,674,-0.100,0.600,0.0010,0.0580,41.70
536271431,0,500,0,674,-0.100,0.600,0.0010,0.0580,41.70
536282018,0,500,0,700,-0.100,0.300,0.0050,0.0550,41.70
536291385,0,500,0,700,-0.100,0.300,0.0050,0.0550,41.70
536301608,0,500,0,669,-0.200,0.300,0.0030,0.0490,41.70
536311432,0,500,0,669,-0.200,0.300,0.0030,0.0490,41.70
536321598,0,500,0,656,-0.100,0.300,0.0040,0.0470,41.70
536331382,0,500,0,656,-0.100,0.300,0.0040,0.0470,41.70
536341437,0,500,0,649,-0.100,0.300,0.0030,0.0520,41.70
536351383,0,500,0,649,-0.100,0.300,0.0030,0.0520,41.70
536361438,0,500,0,638,-0.100,0.200,0.0010,0.0480,41.70
536371384,0,500,0,638,-0.100,0.200,0.0010,0.0480,41.70
536381402,0,500,0,629,-0.100,0.200,0.0010,0.0510,41.70
536391417,0,500,0,629,-0.100,0.200,0.0010,0.0510,41.70
536401533,0,500,0,654,-0.100,0.100,0.0020,0.0500,41.70
536411394,0,500,0,654,-0.100,0.100,0.0020,0.0500,41.70
536421548,0,500,0,659,-0.100,0.000,0.0030,0.0380,41.70
536431394,0,500,0,659,-0.100,0.000,0.0030,0.0380,41.70
536441473,0,500,128,641,0.800,0.000,-0.0180,0.0490,41.70
536451386,0,500,128,641,0.800,0.000,-0.0180,0.0490,41.70
536461581,0,500,128,662,0.800,-0.100,-0.0180,0.0450,41.70
536471391,0,500,35,662,0.500,-0.100,-0.0030,0.0450,41.70
536481629,0,500,35,671,0.500,-0.300,-0.0030,0.0390,41.70
536491724,0,500,1,671,-0.200,-0.300,0.0010,0.0390,41.70
536501385,0,500,1,671,-0.200,-0.300,0.0010,0.0390,41.70
536511405,0,500,0,643,-0.200,-0.200,0.0020,0.0350,41.70
536521414,0,500,0,643,-0.200,-0.200,0.0020,0.0350,41.70
536531408,0,500,0,635,-0.200,-0.300,0.0030,0.0480,41.70
536541417,0,500,0,635,-0.200,-0.300,0.0030,0.0480,41.70
536551546,0,500,0,646,-0.200,-0.400,0.0050,0.0220,41.70
536562399,0,500,0,646,-0.200,-0.400,0.0050,0.0220,41.70
536571565,0,500,0,602,-0.200,-0.400,0.0000,0.0350,41.70
536581384,0,500,0,602,-0.200,-0.400,0.0000,0.0350,41.70
536592960,0,500,93,571,0.600,0.100,-0.0040,0.0450,41.70
536601484,0,500,93,571,0.600,0.100,-0.0040,0.0450,41.70
536611388,0,500,-12,615,0.700,-0.300,-0.0020,0.0040,41.70
536621420,0,500,-12,615,0.700,-0.300,-0.0020,0.0040,41.70
