t_us,tgt_l,tgt_r,erpm_l,erpm_r,i_l,i_r,duty_l,duty_r,vin
537312236,0,0,0,0,0.300,0.300,-0.0070,-0.0140,41.70
537331490,0,0,0,0,0.300,0.300,-0.0030,-0.0140,41.70
537341387,0,0,0,0,0.300,0.300,-0.0080,-0.0110,41.70
537352045,0,0,0,0,0.300,0.300,-0.0080,-0.0110,41.70
537362866,0,0,0,0,0.300,0.300,-0.0050,-0.0060,41.70
537381343,0,0,0,-41,0.300,0.300,-0.0040,-0.0080,41.70
537391665,0,0,0,-41,0.300,0.300,-0.0040,-0.0080,41.70
537401390,0,0,0,57,-0.300,0.400,0.0010,-0.0120,41.70
537411384,0,0,0,57,-0.300,0.400,0.0010,-0.0120,41.70
537421391,0,0,0,-96,0.400,0.000,-0.0090,0.0000,41.70
537431524,0,0,0,-96,0.400,0.000,-0.0090,0.0000,41.70
537443028,0,0,0,-53,-0.200,0.000,0.0050,0.0090,41.70
537461342,0,0,0,-2,0.300,0.200,-0.0100,-0.0150,41.70
537471383,0,0,0,-2,0.300,0.200,-0.0100,-0.0150,41.70
537481404,0,0,0,0,0.300,0.300,-0.0040,-0.0080,41.70
537491430,0,0,0,0,0.300,0.300,-0.0040,-0.0080,41.70
537501397,0,0,0,0,0.300,0.200,-0.0040,-0.0080,41.70
537511381,0,0,0,0,0.300,0.200,-0.0040,-0.0080,41.70
537521567,0,0,0,0,0.300,0.300,-0.0040,-0.0090,41.70
537531386,0,0,0,0,0.300,0.300,-0.0040,-0.0090,41.70
537543185,0,0,0,0,0.300,0.300,-0.0090,-0.0070,41.70
537561292,0,0,0,0,0.300,0.200,-0.0090,-0.0070,41.70
537571423,0,0,0,0,0.300,0.200,-0.0070,-0.0070,41.70
537581816,0,0,0,0,0.300,0.300,-0.0070,-0.0060,41.70
537592085,0,0,0,0,0.300,0.300,-0.0080,-0.0060,41.70
537601391,0,0,0,0,0.300,0.300,-0.0080,-0.0060,41.70
537611388,0,0,0,0,0.300,0.200,-0.0070,-0.0070,41.70
537621383,0,0,0,0,0.300,0.200,-0.0070,-0.0070,41.70
537631383,0,0,0,0,0.300,0.200,-0.0090,-0.0050,41.70
