t_us,tgt_l,tgt_r,erpm_l,erpm_r,i_l,i_r,duty_l,duty_r,vin
453711457,1500,0,389,-99,7.600,0.000,0.2030,0.0200,41.50
453721384,1500,0,389,-99,7.600,0.000,0.2030,0.0200,41.50
453731584,1500,0,597,79,7.300,0.300,0.1980,-0.0330,41.50
453741430,1500,0,597,79,7.300,0.300,0.1980,-0.0330,41.50
453751458,1500,0,736,14,6.900,0.100,0.2440,0.0150,41.50
453761386,1500,0,736,14,6.900,0.100,0.2440,0.0150,41.50
453771421,1500,0,960,49,6.200,0.400,0.2100,-0.0120,41.50
453781480,1500,0,960,49,6.200,0.400,0.2100,-0.0120,41.50
453791420,1500,0,960,4,6.200,0.000,0.2100,0.0020,41.50
453801353,1500,0,1103,4,5.600,0.000,0.2300,0.0020,41.50
453811447,1500,0,1103,0,5.600,-0.100,0.2300,0.0010,41.50
453821420,1500,0,1267,0,5.000,-0.100,0.2250,0.0010,41.50
453831412,1500,0,1267,0,5.000,-0.100,0.2250,0.0010,41.50
453841391,1500,0,1423,0,4.400,0.000,0.2120,0.0010,41.60
453851384,1500,0,1423,0,4.400,0.000,0.2120,0.0010,41.60
453861425,1500,0,1540,0,3.800,0.000,0.1930,0.0060,41.60
453871536,1500,0,1540,0,3.800,0.000,0.1930,0.0060,41.60
453881393,1500,0,1625,0,3.200,-0.100,0.2030,0.0020,41.60
453891381,1500,0,1625,0,3.200,-0.100,0.2030,0.0020,41.60
453901399,1500,0,1708,0,2.800,0.000,0.1830,0.0100,41.60
453911455,1500,0,1708,0,2.800,0.000,0.1830,0.0100,41.60
453921404,1500,0,1776,136,2.300,0.600,0.1790,-0.0170,41.70
453931406,1500,0,1776,136,2.300,0.600,0.1790,-0.0170,41.70
453941365,1500,0,1812,86,1.900,0.700,0.1750,-0.0030,41.70
453951935,1500,0,1812,86,1.900,0.700,0.1750,-0.0030,41.70
453961403,1500,0,1862,3,1.500,-0.200,0.1670,0.0230,41.70
453971382,1500,0,1862,3,1.500,-0.200,0.1670,0.0230,41.70
453981340,1500,0,1886,106,1.200,0.500,0.1550,-0.0120,41.70
453991528,1500,0,1886,106,1.200,0.500,0.1550,-0.0120,41.70
454001401,1500,0,1864,104,1.100,0.800,0.1430,-0.0110,41.70
454011489,1500,0,1864,104,1.100,0.800,0.1430,-0.0110,41.70
454021556,1500,0,1850,5,0.900,-0.300,0.1560,0.0090,41.70
454031462,1500,0,1850,5,0.900,-0.300,0.1560,0.0090,41.70
454041832,1500,0,1876,0,0.700,-0.200,0.1560,0.0180,41.70
454051382,1500,0,1876,0,0.700,-0.200,0.1560,0.0180,41.70
454061926,1500,0,1892,127,0.400,0.900,0.1310,-0.0140,41.70
454072047,1500,0,1892,127,0.400,0.900,0.1310,-0.0140,41.70
454081613,1500,0,1892,44,0.400,0.700,0.1310,-0.0150,41.70
454091698,1500,0,1811,44,0.400,0.700,0.1390,-0.0150,41.70
454101388,1500,0,1811,44,0.400,0.700,0.1390,-0.0150,41.70
454111605,1500,0,1865,50,0.200,-0.500,0.1440,0.0360,41.80
454121504,1500,0,1865,50,0.200,-0.500,0.1440,0.0360,41.80
454131390,1500,0,1852,120,0.100,1.000,0.1100,-0.0260,41.80
454141918,1500,0,1852,120,0.100,1.000,0.1100,-0.0260,41.80
454151389,1500,0,1842,25,0.100,-0.700,0.1410,0.0350,41.80
454161383,1500,0,1842,25,0.100,-0.700,0.1410,0.0350,41.80
