t_us,tgt_l,tgt_r,erpm_l,erpm_r,i_l,i_r,duty_l,duty_r,vin
490662009,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490681231,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490691402,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490701381,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490711407,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490721431,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490731401,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490741490,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490751451,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490761437,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490771436,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490781387,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490791982,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490802629,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490821274,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490831446,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490841394,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490851420,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490861391,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490871385,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490881714,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490891427,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490901450,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490911386,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490921386,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490931390,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490941391,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490951386,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490961465,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490971414,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490981445,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
490991509,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491001457,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491011576,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491021441,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491031546,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491041407,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491051394,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491061774,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491071383,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491081632,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491091994,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491101473,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491111423,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491121498,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491132052,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491141657,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491151384,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491161391,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491171450,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491181567,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491191422,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491201312,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491211401,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491221655,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491231457,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491241394,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491251392,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491262846,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491281237,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491291445,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491301431,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491311526,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491321298,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491331421,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491341304,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491351407,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491361381,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491371475,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491381401,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491391454,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491401342,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491411374,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491421350,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491431427,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491441341,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491451385,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491461419,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491471371,500,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491481358,500,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491492934,500,0,0,0,0.000,0.000,0.0000,0.0000,41.80
491511362,500,0,0,0,0.600,0.000,0.0250,-0.0010,41.80
491521448,500,0,81,0,2.300,-0.200,0.0910,0.0350,41.70
491531430,500,0,81,0,2.300,-0.200,0.0910,0.0350,41.70
491541405,500,0,308,133,1.300,0.200,0.0240,-0.0360,41.80
491551363,500,0,308,133,1.300,0.200,0.0240,-0.0360,41.80
491561538,500,0,-40,-90,3.100,-0.100,0.0910,0.0170,41.70
491571417,500,0,-40,-90,3.100,-0.100,0.0910,0.0170,41.70
491581372,500,0,-8,96,3.500,-0.100,0.0790,-0.0370,41.70
491591412,500,0,-8,96,3.500,-0.100,0.0790,-0.0370,41.70
491601360,500,0,93,-96,3.100,0.000,0.0900,0.0300,41.70
491611463,500,0,93,-96,3.100,0.000,0.0900,0.0300,41.70
491621735,500,0,122,75,3.200,0.000,0.0880,-0.0370,41.70
491631383,500,0,122,75,3.200,0.000,0.0880,-0.0370,41.70
491641539,500,0,198,-64,2.900,0.000,0.0900,0.0220,41.70
491651393,500,0,198,-64,2.900,0.000,0.0900,0.0220,41.70
491661401,500,0,198,38,2.900,0.100,0.0900,-0.0230,41.70
491671388,500,0,271,38,2.700,0.100,0.0830,-0.0230,41.70
491681993,500,0,271,6,2.700,-0.200,0.0830,0.0060,41.70
491691382,500,0,329,6,2.500,-0.200,0.0860,0.0060,41.70
491701614,500,0,329,0,2.500,0.000,0.0860,0.0070,41.70
491711417,500,0,454,0,2.000,0.000,0.0810,0.0070,41.70
491721420,500,0,454,0,2.000,0.000,0.0810,0.0070,41.70
491731700,500,0,496,0,1.800,-0.100,0.0780,0.0080,41.70
491741389,500,0,496,0,1.800,-0.100,0.0780,0.0080,41.70
491751441,500,0,544,0,1.500,0.000,0.0760,0.0040,41.70
491761413,500,0,544,0,1.500,0.000,0.0760,0.0040,41.70
491771456,500,0,574,0,1.300,-0.100,0.0750,0.0040,41.70
491781387,500,0,574,0,1.300,-0.100,0.0750,0.0040,41.70
491791472,500,0,606,0,1.100,-0.100,0.0670,0.0020,41.70
491802068,500,0,606,0,1.100,-0.100,0.0670,0.0020,41.70
491811528,500,0,632,0,0.900,0.000,0.0690,0.0000,41.70
491821424,500,0,632,0,0.900,0.000,0.0690,0.0000,41.70
491831417,500,0,647,0,0.800,-0.100,0.0590,0.0040,41.70
491841423,500,0,647,0,0.800,-0.100,0.0590,0.0040,41.70
491851415,500,0,669,0,0.600,-0.100,0.0640,0.0030,41.80
491861388,500,0,669,0,0.600,-0.100,0.0640,0.0030,41.80
491871453,500,0,671,0,0.500,-0.100,0.0530,0.0030,41.80
491881543,500,0,671,0,0.500,-0.100,0.0530,0.0030,41.80
491891474,500,0,676,0,0.400,-0.100,0.0530,0.0040,41.80
491901416,500,0,676,0,0.400,-0.100,0.0530,0.0040,41.80
491911466,500,0,663,0,0.300,-0.100,0.0500,0.0040,41.80
491921393,500,0,663,0,0.300,-0.100,0.0500,0.0040,41.80
491931554,500,0,655,0,0.300,-0.100,0.0520,0.0020,41.80
491941384,500,0,655,0,0.300,-0.100,0.0520,0.0020,41.80
491951409,500,0,655,0,0.300,0.000,0.0520,0.0030,41.80
491961383,500,0,659,0,0.200,0.000,0.0510,0.0030,41.80
491971428,500,0,659,0,0.200,-0.100,0.0510,0.0020,41.80
491981386,500,0,641,0,0.200,-0.100,0.0410,0.0020,41.80
491992028,500,0,641,0,0.200,-0.100,0.0410,0.0050,41.80
492002634,500,0,635,0,0.200,-0.100,0.0490,0.0050,41.80
492011689,500,0,635,0,0.200,-0.100,0.0490,0.0050,41.80
492022366,500,0,614,0,0.200,0.000,0.0510,0.0040,41.80
492031440,500,0,614,0,0.200,0.000,0.0510,0.0040,41.80
492041387,500,0,618,0,0.100,0.000,0.0430,0.0020,41.80
492051395,500,0,618,0,0.100,0.000,0.0430,0.0020,41.80
492061699,500,0,608,0,0.100,-0.100,0.0400,0.0020,41.80
492071381,500,0,608,0,0.100,-0.100,0.0400,0.0020,41.80
492081852,500,0,588,0,0.200,-0.100,0.0430,0.0020,41.80
492091384,500,0,588,0,0.200,-0.100,0.0430,0.0020,41.80
492101398,500,0,592,0,0.100,0.000,0.0460,0.0070,41.80
492111394,500,0,592,0,0.100,0.000,0.0460,0.0070,41.80
492121548,500,0,575,0,0.100,-0.100,0.0390,0.0000,41.80
492131642,500,0,575,0,0.100,-0.100,0.0390,0.0000,41.80
492141406,500,0,571,0,0.100,-0.100,0.0420,0.0020,41.80
492151383,500,0,571,0,0.100,-0.100,0.0420,0.0020,41.80
492161404,500,0,569,0,0.100,0.000,0.0360,0.0050,41.80
492171408,500,0,569,0,0.100,0.000,0.0360,0.0050,41.80
492181815,500,0,543,102,0.200,0.400,0.0410,-0.0130,41.80
492191555,500,0,543,102,0.200,0.400,0.0410,-0.0130,41.80
492201608,500,0,508,8,0.200,0.100,0.0480,0.0080,41.80
492212043,500,0,508,8,0.200,0.100,0.0480,0.0080,41.80
492221715,500,0,508,107,0.200,0.700,0.0480,-0.0110,41.80
492231357,500,0,459,107,0.800,0.700,0.0530,-0.0110,41.80
492241532,500,0,459,18,0.800,0.200,0.0530,-0.0150,41.80
492251391,500,0,239,18,0.300,0.200,0.0500,-0.0150,41.80
492261921,0,0,244,0,2.100,-0.500,0.1140,0.0460,41.80
492271422,0,0,244,0,2.100,-0.500,0.1140,0.0460,41.70
492281931,0,0,244,0,2.100,-0.500,0.1140,0.0460,41.70
492291386,0,0,378,134,1.300,0.300,0.0610,-0.0570,41.70
492301386,0,0,378,134,1.300,0.300,0.0610,-0.0570,41.70
492312038,0,0,4,-112,0.700,-0.100,-0.0290,-0.0020,41.80
492321387,0,0,4,-112,0.700,-0.100,-0.0290,-0.0020,41.80
492331394,0,0,49,-56,0.700,0.100,0.0620,-0.0070,41.70
492341386,0,0,49,-56,0.700,0.100,0.0620,-0.0070,41.70
492352012,0,0,231,-2,-0.400,0.000,0.0330,0.0040,41.80
492361514,0,0,231,-2,-0.400,0.000,0.0330,0.0040,41.80
492371434,0,0,320,0,1.000,0.100,-0.0210,-0.0240,41.80
492381385,0,0,320,0,1.000,0.100,-0.0210,-0.0240,41.80
492391399,0,0,-34,-99,0.600,-0.100,0.0560,0.0160,41.80
492401381,0,0,-34,-99,0.600,-0.100,0.0560,0.0160,41.80
492411553,0,0,156,100,-0.300,-0.300,0.0420,0.0120,41.80
492421386,0,0,156,100,-0.300,-0.300,0.0420,0.0120,41.80
492431400,0,0,-8,48,0.900,0.400,-0.0060,-0.0260,41.80
492442238,0,0,-8,48,0.900,0.400,-0.0060,-0.0260,41.80
492451712,0,0,103,20,-0.100,-0.400,0.0070,0.0330,41.80
492461419,0,0,103,20,-0.100,-0.400,0.0070,0.0330,41.80
